Date sp FF1 FF2 ip cpi twd m1 rb gt10 un inc 
35461 787.5 94.7 94.67 96.3 158.59032 100 1080.3 3.65 6.492 5.3 6119.1 
35489 790.4 94.71 94.64 97.6 158.6 101.8 1077.2 3.36 6.55 5.2 6147.6 
35520 758 94.5 94.44 97.9 159.08387 102.6 1069.7 3.62 6.898 5.2 6176.6 
35550 802.8 94.44 94.34 98.4 159.58334 103.4 1061.7 3.61 6.713 5.1 6185.6 
35580 850.6 94.47 94.38 98.8 159.9742 102.4 1063.2 3.61 6.657 4.9 6216 
35611 890.25 94.45 94.44 99.3 160.19334 102 1064.7 3.7 6.496 5 6239.7 
35642 957.95 94.49 94.47 99.9 160.10323 103.3 1067.4 3.61 6.006 4.9 6271.8 
35671 903.1 94.47 94.45 100.9 160.28065 105.1 1072.7 3.63 6.336 4.8 6312.5 
35703 954.5 94.47 94.43 101.7 160.49333 105.7 1067.8 3.66 6.1 4.9 6331.5 
35734 924 94.47 94.45 102.5 160.79032 106.4 1066.8 3.58 5.829 4.7 6364.5 
35762 954.9 94.37 94.34 103.2 161.16 108.2 1068.8 3.57 5.872 4.6 6415.9 
35795 979.1 94.44 94.45 103.5 161.5871 112.5 1071.4 3.75 5.739 4.7 6451.4 
35825 987.8 94.52 94.5 104 161.5064 116.5 1073.8 3.71 5.503 4.6 6516.5 
35853 1050.5 94.46 94.51 104.3 161.31429 114.9 1077.5 3.74 5.62 4.6 6568.2 
35885 1110.5 94.48 94.47 104.6 161.59032 114.6 1076.1 3.83 5.651 4.7 6612.2 
35915 1119.2 94.49 94.47 105.2 161.89 114.4 1075 3.8 5.669 4.3 6644 
35944 1090.8 94.49 94.46 105.7 162.17097 115.3 1076.1 3.78 5.55 4.4 6681.3 
35976 1143 94.48 94.48 105.3 162.5 118 1076.8 3.81 5.444 4.5 6722.8 
36007 1123 94.49 94.47 105 162.79032 118.3 1076 3.79 5.492 4.5 6741.1 
36038 954 94.5 94.6 107.1 162.99355 120.2 1073.4 3.81 4.974 4.5 6774.3 
36068 1026 94.76 94.86 106.9 163.19333 119 1080.1 3.63 4.418 4.6 6799.2 
36098 1105.2 95.06 95.19 107.8 163.3871 115.9 1087.3 3.66 4.603 4.5 6811.5 
36129 1162.5 95.18 95.12 107.5 163.59333 115.7 1093.2 3.72 4.712 4.4 6843.8 
36160 1245.5 95.21 95.28 107.5 163.9871 115 1095 3.84 4.646 4.4 6853.8 
36189 1281.5 95.26 95.25 108.2 164 115.2 1095 3.76 4.649 4.3 6856.6 
36217 1235.5 95.22 95.2 108.6 163.91071 116.8 1096.8 3.87 5.285 4.4 6883.1 
36250 1293.3 95.23 95.22 109 164.28709 118.2 1097.5 3.93 5.24 4.2 6890.3 
36280 1336.5 95.23 95.21 109.2 164.49333 117.6 1099.5 3.91 5.346 4.3 6880.2 
36311 1300 95.19 95.07 110 164.98387 117.3 1100.6 3.91 5.62 4.2 6900.6 
36341 1381.7 94.98 94.95 110.1 166.16 117.9 1100 4.02 5.778 4.3 6920.6 
36371 1331.8 94.945 94.815 110.6 166.2 118 1100.1 4.06 5.9 4.3 6929.4 
36403 1319.8 94.72 94.635 111.4 166.2 117 1098.4 4.08 5.968 4.2 6959.1 
36433 1298.2 94.715 94.67 111.1 166.68333 116.4 1098.1 4.1 5.875 4.2 6947.3 
36462 1376.2 94.68 94.595 112.3 167.06129 115.9 1103.2 4.15 6.022 4.1 7014.9 
36494 1391.5 94.535 94.505 112.8 167.87333 116.1 1111.6 4.17 6.189 4.1 7070.4 
36525 1484.2 94.555 94.21 113.7 168.1903 116.1 1121.9 4.33 6.442 4 7128 
36556 1401 94.175 94.09 113.6 168.29677 116 1118.8 4.32 6.662 4 7231.2 
36585 1372 94.165 93.99 114.3 168.3 117.4 1109.6 4.26 6.407 4.1 7265.6 
36616 1515.3 93.98 93.83 114.7 168.6871 117.1 1108.7 3.99 6.002 4 7291.1 
36644 1460 93.79 93.57 115.6 169.6 117.2 1108.8 3.95 6.21 3.8 7297.3 
36677 1422.2 93.47 93.24 116.3 171.05484 119.8 1105.8 4.11 6.27 4.1 7297.6 
36707 1468.1 93.46 93.435 116.4 171.19667 118.6 1106.6 4.01 6.029 4 7328.5 
36738 1438.9 93.47 93.4 115.8 171.29677 118.9 1105.5 3.96 6.029 4.1 7387.8 
36769 1521.2 93.475 93.495 115.7 172.26774 119.7 1103.9 3.98 5.722 4.1 7410.1 
36798 1453.7 93.505 93.505 116.2 172.58 121.2 1101.3 3.98 5.799 4 7407.9 
36830 1440.2 93.49 93.525 115.7 172.69677 122.9 1101.4 3.88 5.749 3.9 7419.8 
36860 1321.5 93.535 93.575 115.6 173.66667 123.8 1093.4 3.82 5.466 4 7412.5 
36889 1335 93.555 93.89 115.3 173.97097 122.9 1084.9 3.76 5.11 3.9 7394.7 
36922 1372.9 94.545 94.7 114.2 174.09677 122.7 1093.3 3.57 5.112 4.1 7408.6 
36950 1242 94.735 95.09 113.6 174.00357 123.4 1100.2 3.39 4.894 4.2 7406.6 
36980 1169.2 95.09 95.33 113.2 175.02903 125.4 1108 3.4 4.915 4.2 7403.5 
37011 1254.3 95.665 95.825 112.8 175.77667 126.4 1106.3 3.4 5.336 4.4 7376.5 
37042 1257.4 96.02 96.23 112.3 176.1871 126.2 1117 3.33 5.379 4.4 7344.9 
37071 1231.7 96.25 96.29 111.6 176.8533 127.1 1126.1 3.42 5.41 4.6 7337.4 
37103 1215.3 96.355 96.52 111.1 177.67419 127.5 1138 3.34 5.052 4.6 7357.6 
37134 1135.1 96.51 96.695 110.9 177.99033 125.4 1149.2 3.37 4.83 4.9 7361.7 
37162 1043.7 97.435 97.58 110.2 177.55 125.8 1201.2 3.3 4.586 5 7346.5 
37195 1060.7 97.79 97.975 109.9 177.5 126.6 1163.9 3.11 4.23 5.4 7357.8 
37225 1140 98.155 98.22 109.4 178.27333 127.1 1165.3 3.42 4.75 5.6 7366 
37256 1149.2 98.245 98.32 109.1 177.71935 127.2 1172.9 3.52 5.049 5.8 7376.8 
37287 1130.4 98.255 98.25 109.7 177.40968 128.8 1179 3.48 5.031 5.6 7356.5 
37315 1106.9 98.235 98.26 109.9 176.72501 129.5 1185.2 3.3 4.875 5.6 7359.1 
37344 1149.2 98.245 98.14 110.3 177.06129 128.8 1187.1 3.42 5.394 5.7 7360.1 
37376 1077.2 98.24 98.215 110.8 177.77667 128.4 1172.6 3.2 5.085 5.9 7362.9 
37407 1067.5 98.235 98.225 110.9 178.76775 126.9 1183.3 3.12 5.043 5.8 7382 
37435 990.1 98.255 98.255 111.7 179.7 125.5 1188.9 3.06 4.797 5.8 7400 
37468 911.5 98.28 98.305 111.5 179.8 123.8 1188.9 2.91 4.459 5.8 7375.3 
37498 916.1 98.27 98.3 111.5 179.89355 125.2 1195.7 2.57 4.141 5.8 7363.5 
37529 815 98.345 98.49 111.3 180.09332 126.1 1184.5 2.35 3.594 5.7 7357.3 
37560 885.4 98.44 98.595 111 180.68065 127.1 1202.6 2.67 3.893 5.8 7364.2 
37589 936 98.77 98.765 111.2 180.98 125.8 1202.2 2.72 4.205 5.9 7362.5 
